regime,n,m,epsilon_denominator,binding_agents,rounds,learned_agents,verification_queries,hyperplane_queries,total_queries,exact_verification_count,exact_hyperplane_count,universal_total_envelope
quadratic_verification,16,9,16,8,9,8,80,712,792,80,712,848
quadratic_verification,32,17,32,16,17,16,288,3344,3632,288,3344,3872
quadratic_verification,64,33,64,32,33,32,1088,15392,16480,1088,15392,17472
quadratic_verification,128,65,128,64,65,64,4224,69696,73920,4224,69696,77952
independent_n,32,16,64,8,9,8,224,1808,2032,224,1808,2336
independent_n,64,16,64,8,9,8,512,1808,2320,512,1808,3888
independent_n,128,16,64,8,9,8,1088,1808,2896,1088,1808,10064
independent_n,256,16,64,8,9,8,2240,1808,4048,2240,1808,34704
independent_n,512,16,64,8,9,8,4544,1808,6352,4544,1808,133136
independent_n,1024,16,64,8,9,8,9152,1808,10960,9152,1808,526608
independent_n,2048,16,64,8,9,8,18368,1808,20176,18368,1808,2099984
independent_n,4096,16,64,8,9,8,36800,1808,38608,36800,1808,8392464
independent_n,8192,16,64,8,9,8,73664,1808,75472,73664,1808,33560336
independent_n,16384,16,64,8,9,8,147392,1808,149200,147392,1808,134227728
independent_n,32768,16,64,8,9,8,294848,1808,296656,294848,1808,536889104
independent_n,65536,16,64,8,9,8,589760,1808,591568,589760,1808,2147518224
independent_m,64,8,64,4,5,4,304,424,728,304,424,2504
independent_m,64,16,64,4,5,4,304,904,1208,304,904,2984
independent_m,64,32,64,4,5,4,304,1864,2168,304,1864,3944
independent_m,64,64,64,4,5,4,304,3784,4088,304,3784,5864
independent_m,64,128,64,4,5,4,304,7624,7928,304,7624,9704
independent_m,64,256,64,4,5,4,304,15304,15608,304,15304,17384
independent_precision,64,16,4,1,2,1,127,106,233,127,106,2186
independent_precision,64,16,8,1,2,1,127,136,263,127,136,2216
independent_precision,64,16,16,1,2,1,127,166,293,127,166,2246
independent_precision,64,16,32,1,2,1,127,196,323,127,196,2276
independent_precision,64,16,64,1,2,1,127,226,353,127,226,2306
independent_precision,64,16,128,1,2,1,127,256,383,127,256,2336
independent_precision,64,16,256,1,2,1,127,286,413,127,286,2366
independent_precision,64,16,512,1,2,1,127,316,443,127,316,2396
independent_precision,64,16,1024,1,2,1,127,346,473,127,346,2426
independent_precision,64,16,2048,1,2,1,127,376,503,127,376,2456
independent_precision,64,16,4096,1,2,1,127,406,533,127,406,2486
independent_precision,64,16,8192,1,2,1,127,436,563,127,436,2516
independent_precision,64,16,16384,1,2,1,127,466,593,127,466,2546
independent_precision,64,16,32768,1,2,1,127,496,623,127,496,2576
independent_precision,64,16,65536,1,2,1,127,526,653,127,526,2606

