regime,n,m,epsilon_denominator,constraint_agents,quality_R,rounds,verification_queries,elicitation_queries,total_queries,exact_verification_count,exact_elicitation_count,universal_R_plus_1_envelope
quality_R,8192,2,512,256,1,2,16128,22,16150,16128,22,16406
quality_R,8192,2,512,256,2,3,24064,44,24108,24064,44,24620
quality_R,8192,2,512,256,4,5,39936,88,40024,39936,88,41048
quality_R,8192,2,512,256,8,9,71680,176,71856,71680,176,73904
quality_R,8192,2,512,256,16,17,135168,352,135520,135168,352,139616
quality_R,8192,2,512,256,32,33,262144,704,262848,262144,704,271040
quality_R,8192,2,512,256,64,65,516096,1408,517504,516096,1408,533888
quality_R,8192,2,512,256,128,129,1024000,2816,1026816,1024000,2816,1059584
quality_R,8192,2,512,256,256,257,2039808,5632,2045440,2039808,5632,2110976
independent_n,256,4,64,16,8,9,2176,368,2544,2176,368,2672
independent_n,512,4,64,16,8,9,4480,368,4848,4480,368,4976
independent_n,1024,4,64,16,8,9,9088,368,9456,9088,368,9584
independent_n,2048,4,64,16,8,9,18304,368,18672,18304,368,18800
independent_n,4096,4,64,16,8,9,36736,368,37104,36736,368,37232
independent_n,8192,4,64,16,8,9,73600,368,73968,73600,368,74096
independent_n,16384,4,64,16,8,9,147328,368,147696,147328,368,147824
independent_n,32768,4,64,16,8,9,294784,368,295152,294784,368,295280
independent_n,65536,4,64,16,8,9,589696,368,590064,589696,368,590192
independent_m,1024,2,64,16,8,9,9088,128,9216,9088,128,9344
independent_m,1024,4,64,16,8,9,9088,368,9456,9088,368,9584
independent_m,1024,8,64,16,8,9,9088,848,9936,9088,848,10064
independent_m,1024,16,64,16,8,9,9088,1808,10896,9088,1808,11024
independent_m,1024,32,64,16,8,9,9088,3728,12816,9088,3728,12944
independent_m,1024,64,64,16,8,9,9088,7568,16656,9088,7568,16784
independent_m,1024,128,64,16,8,9,9088,15248,24336,9088,15248,24464
independent_m,1024,256,64,16,8,9,9088,30608,39696,9088,30608,39824
independent_precision,1024,8,16,8,8,9,9152,624,9776,9152,624,9840
independent_precision,1024,8,32,8,8,9,9152,736,9888,9152,736,9952
independent_precision,1024,8,64,8,8,9,9152,848,10000,9152,848,10064
independent_precision,1024,8,128,8,8,9,9152,960,10112,9152,960,10176
independent_precision,1024,8,256,8,8,9,9152,1072,10224,9152,1072,10288
independent_precision,1024,8,512,8,8,9,9152,1184,10336,9152,1184,10400
independent_precision,1024,8,1024,8,8,9,9152,1296,10448,9152,1296,10512
independent_precision,1024,8,2048,8,8,9,9152,1408,10560,9152,1408,10624
independent_precision,1024,8,4096,8,8,9,9152,1520,10672,9152,1520,10736
independent_precision,1024,8,8192,8,8,9,9152,1632,10784,9152,1632,10848
independent_precision,1024,8,16384,8,8,9,9152,1744,10896,9152,1744,10960
independent_precision,1024,8,32768,8,8,9,9152,1856,11008,9152,1856,11072
independent_precision,1024,8,65536,8,8,9,9152,1968,11120,9152,1968,11184
zero_record_footnote,4096,16,64,0,0,1,4096,0,4096,4096,0,4096

